Position: 54.37101505 18.61400261
ac: 0.56772834 -0.7185335 0.99735546
ac: -0.679886 -1.491133 -2.7199507
ac: -0.6338485 -1.304935 -2.8103437
ac: 0.7953233 -0.8590889 -3.891025
ac: -0.14454885 -0.03996563 -1.5433064
ac: 0.17164436 -0.06496096 1.7139893
ac: 1.8907125 1.2367516 3.0925894
ac: 2.6056564 -1.3298097 3.2472649
ac: -0.1380496 -2.1441302 1.0957718
ac: 0.9116596 -0.35879803 -3.6432614
ac: -0.3871993 0.4231243 -2.723075
ac: -0.9469232 1.2524831 -3.3471875
ac: -1.0358422 2.4816637 0.7663593
ac: -1.4350045 2.2158864 3.3038225
ac: 0.11698806 1.6092217 3.7908258
ac: 1.3428414 -0.33601022 5.1501417
ac: -1.8092508 -2.1378915 2.2157545
ac: 0.10559058 -1.3283306 -1.3510399
ac: -0.7830774 -0.55439854 -3.0997953
Position: 54.37102977 18.61391757
ac: 0.6646732 -0.17321539 -3.528933
ac: 0.34566927 -0.044230938 -3.105741
ac: 0.70336604 0.1123023 -0.30534554
ac: 0.029130757 0.42930317 1.8575668
ac: 4.211486 1.8470936 4.3239765
ac: -0.039096713 -1.4907522 4.2411566
ac: 1.6685292 -0.8613422 -1.3229036
ac: -0.30753917 -0.3268819 -4.417616
ac: -0.96597797 -0.41409492 -3.1888871
ac: -0.4796654 0.14205694 -2.4644737
ac: 1.0142789 1.3195167 1.6667156
ac: 0.6215857 2.2333865 2.344654
ac: -0.68209165 2.2146206 3.734517
ac: -3.3503237 -0.09498668 1.1848745
ac: 0.06347257 -0.30310535 2.338458
ac: -1.3492253 -0.4135878 -0.88353443
ac: -0.4690337 0.17358994 -2.3555813
ac: 0.25943416 0.3453586 -2.8239074
Position: 54.37102977 18.61391757
ac: -0.23220956 -0.13765669 -0.5803261
ac: 1.1841328 -0.30912375 2.8842459
ac: 2.733942 1.853756 4.908451
ac: 0.2575884 -1.617404 3.1180468
ac: 2.0564227 -1.0923381 -0.2786703
ac: 0.8053627 -0.41358924 -5.9522142
ac: -0.7614509 -0.4673314 -4.4478316
ac: -1.3523155 0.7329631 -3.5726442
ac: -0.8238685 1.9544005 1.5514908
ac: -1.5360647 2.195438 4.719528
ac: -0.6860756 2.7808857 3.948761
ac: -1.2781544 -0.41266155 3.7891579
ac: 0.6169277 -0.48774695 0.26709557
ac: -1.0560794 -1.6347287 -1.5321207
ac: -0.15607867 -1.272505 -3.16042
ac: 1.4488788 -2.459662 -4.9129486
ac: -0.9023154 -0.926044 -0.018856049
ac: -0.10201955 0.08987713 0.18789482
Position: 54.37103848 18.61387353
ac: 0.18128815 0.8155539 3.736104
ac: 3.8136146 -0.7936635 4.9774876
ac: 2.1499817 -1.5414579 0.3473215
ac: 2.4001522 0.19781184 -3.7268429
ac: -0.6276139 0.5371151 -3.437439
ac: -1.1312656 1.1010711 -5.5623884
ac: -0.6263691 0.97198415 -2.717435
ac: 0.884699 0.8934343 6.4946957
ac: 1.568161 0.9067966 5.467601
ac: 1.4240775 -0.40621293 7.194147
ac: -1.7335088 -1.0583718 0.9998541
ac: -0.43869346 -0.3837062 -2.0643039
ac: -1.8031118 -0.3328222 -2.5495896
ac: -1.3718319 -1.5513511 -0.07289219
ac: 0.5277208 0.0073287487 -6.6976185
ac: 0.3243667 1.1094065 -2.6265898
ac: 0.4662637 0.05923748 0.48293114
ac: 0.9488452 -0.32369876 4.328964
Position: 54.37103848 18.61387353
ac: 1.4548867 -0.4340161 6.2636642
ac: 3.0214138 0.27282143 0.19560242
ac: 0.5842086 0.8565968 -1.3941879
ac: -1.8525687 0.4592719 -3.4522443
ac: -1.4857669 0.6134869 -3.7386374
ac: -0.39057052 1.0728879 -0.09348202
ac: -1.2310863 0.92219615 2.7495432
ac: 0.018576324 1.1898692 3.9558792
ac: -0.873982 0.04414153 5.0639887
ac: -1.4539603 -0.7579074 1.59589
ac: 0.4920002 -0.57440627 -1.2457695
ac: -0.93392783 -0.3219874 -1.6567521
ac: -0.050925106 0.027497053 -4.0548472
ac: 0.074049786 -0.19618797 -0.6724405
ac: 0.85846937 0.0397954 0.08589649
ac: 1.5177226 0.26345682 0.523489
ac: 3.8173723 0.47066998 6.49492
ac: 0.48533213 -1.2078671 1.1863537
ac: 1.679249 -0.44497085 -1.9915361
Position: 54.37104983 18.61382701
ac: -0.25915033 0.07242608 -2.3962555
ac: -1.5400163 0.39663148 -2.0429163
ac: -1.4354558 0.85005784 -1.5670152
ac: -0.7738107 2.1132412 1.0975447
ac: 0.9416478 1.4213309 5.377326
ac: 0.995087 0.99394655 3.4923677
ac: -1.6835455 -0.8737843 1.0275373
ac: 1.3327928 -1.7423775 1.2183189
ac: -0.6802093 -1.0913754 -2.333538
ac: -0.32570028 -0.9970243 -4.202496
ac: 0.93784314 -0.21363258 -4.3713336
ac: -0.41651797 0.209373 -2.501606
ac: -0.9901383 0.5063534 1.4180183
ac: 1.6879776 1.702604 5.215398
ac: 1.3050588 -0.72029185 3.362255
ac: 2.6031837 -1.205881 1.7806377
ac: 0.7285702 -0.54591155 -3.8683162
ac: -1.0753423 -0.1848154 -3.5039935
Position: 54.37106185 18.61378013
