Position: 54.3829545 18.47531415
ac: -0.08520579 0.46382427 0.25656176
ac: 0.32498515 -0.03204441 0.39396715
ac: -0.10408747 0.20778656 -0.43275928
ac: 0.13918841 0.3639078 -0.42373896
ac: -0.14101136 0.14071083 -0.43284082
ac: -0.4015168 0.13907337 -0.18872452
ac: -0.47311807 0.17967129 -0.20889759
ac: -0.5144026 0.17736244 -0.1567154
ac: -0.25761294 0.3134575 -0.122143745
ac: -1.4419367 1.2527742 -1.0688672
ac: -2.156377 2.1206923 -0.54807186
ac: 2.9290283 -1.1030641 1.9704146
ac: 5.1593084 -0.19434309 -1.2532344
ac: 5.4814515 -1.8839045 -8.593917
ac: -2.3536422 1.7256289 0.9427514
ac: 2.8473449 -2.4783282 0.25787354
ac: -3.9659984 0.15745068 0.07371187
ac: 4.043091 1.5791278 0.854023
ac: -0.010892868 0.13682508 -2.4136243
ac: -3.6453907 3.5421648 -1.2267771
ac: -1.1242008 2.051537 -0.38491678
ac: -0.60389185 -0.8369882 3.2802649
ac: -5.203413 0.07803273 0.28314257
ac: -2.987131 -1.0295091 0.57184887
ac: -2.3179955 -0.5565148 1.7785759
ac: 0.68236256 -0.9103183 2.0143604
ac: -1.9495864 -0.5944944 -0.39695358
ac: -0.9101577 0.3559373 0.97438383
ac: -0.02863121 -0.026370138 1.7374396
ac: 0.42471838 1.6075349 -1.0079746
ac: 1.2172084 0.18211597 0.60866785
ac: -0.19059753 -0.14905134 -0.9694376
ac: 0.45497894 -0.49486795 -0.15913343
ac: 0.8314338 -1.0848923 1.621736
ac: -0.19591141 -1.1529733 -1.5901904
ac: 1.0837092 0.6510931 -1.0488882
ac: -1.5098462 1.6115227 -1.6645818
ac: 0.43509388 0.21029958 -0.61590004
ac: 0.2164383 -0.12749533 0.14022827
ac: 1.2445602 1.343094 -0.89837694
ac: 1.4241571 -0.3092118 0.7973819
ac: 0.0975523 0.24570057 -0.2208147
ac: 0.2475195 0.07700083 -0.2809143
ac: 0.36542892 -0.25427726 -0.18056107
ac: 0.36193657 -0.46869597 0.24119997
ac: -0.0234766 -0.36495325 0.35423183
ac: -0.19709015 0.7084175 -1.2055626
ac: 0.25879192 0.031552777 0.1766572
ac: 0.4698696 -0.4833356 0.80888224
ac: 0.011672974 -0.10323621 0.6547704
ac: -0.29603386 0.32515723 0.03036642
ac: 0.39525223 0.38393033 -0.3775525
ac: -0.305048 -0.21078503 0.18912363
ac: 0.9760437 -0.98961484 -1.1652484
ac: 0.21657753 0.038914233 -0.6798763
ac: -0.9399595 -0.75404286 -0.24150681
ac: 0.13227463 -0.007844269 -0.21682644
ac: 0.3084135 0.24410191 -0.20611262
ac: 0.106248856 0.3282321 -0.34816623
ac: 0.102918625 0.25273442 -0.0015263557
ac: 0.5368624 -0.3513602 0.1985128
ac: 0.4829588 0.45171505 0.12578201
ac: 2.0993185 -4.075694 4.4469867
ac: 0.32995987 -0.47532618 0.26908588
ac: 0.5590658 -0.62425303 0.42973256
ac: 0.29349327 -0.42953008 0.066393614
ac: 0.1982832 -0.4885177 0.44436622
ac: 1.1555967 -1.5113804 1.6366539
ac: 0.5326338 0.15289135 -1.1250064
ac: -0.030077934 0.5378122 -0.040073156
ac: 0.09260559 0.5296818 0.14439893
ac: 0.45181942 0.23602791 -0.019604683
ac: 0.09566307 -0.029286876 -0.034638643
ac: 0.16252899 -0.19613253 -0.16693735
ac: 0.31037045 -0.41089404 -0.17388773
ac: -0.09840679 0.09818186 -0.8374655
ac: 0.45833206 -0.9708631 0.53585577
ac: 0.09800911 0.13709813 -0.21334267
ac: 0.29242992 0.21782121 -0.4329605
ac: 0.2766056 0.35843787 0.009663343
ac: 0.28372383 0.25092062 0.09289622
ac: 0.5037317 0.1366399 -0.01902914
ac: 0.23826694 0.021789514 0.5208552
ac: 0.08380604 -0.054309975 0.33558726
Position: 54.3829545 18.47531415
ac: -0.2397871 -0.51460606 0.91584516
ac: 0.43457222 -0.40150866 0.0020604134
ac: 0.05018711 -0.42883974 0.4849198
ac: 0.6163912 0.09201573 -0.07858753
ac: 0.2938404 0.5576555 -0.72479725
ac: 0.09799099 0.84873277 -0.7177453
ac: 0.06824875 0.55381405 -0.1502533
ac: 0.40447807 0.28154346 -0.16563201
ac: 8.8977814E-4 0.2701824 -0.42483687
ac: 1.0853434 -0.9881278 1.5977001
ac: -2.5121865 3.4504368 -3.0101933
ac: 1.300725 -2.3690898 1.9267416
ac: 0.54137516 -1.2887357 1.2434847
ac: 0.20371246 -0.37449497 0.067101
ac: 0.44976902 -0.31296793 0.67570496
ac: 0.33806038 0.92146313 -1.2135673
ac: 0.16526413 0.64970076 -0.009165764
ac: 0.09872818 -0.1709335 0.05877447
Position: 54.3829545 18.47531415
ac: 0.39979935 -0.45161915 0.7727065
ac: -0.17589855 -0.022294834 -0.30028343
ac: 0.39034462 -0.2575038 0.0060698986
ac: 0.42010498 -0.4407108 0.13517022
ac: -0.263237 -0.16391456 0.31051278
ac: 0.090372086 -0.07865473 -0.2557845
ac: 0.52961063 0.018928863 -0.119687796
ac: 0.100790024 -0.41467297 1.2071838
ac: -0.110295296 0.17191608 0.9228842
ac: 0.43996143 -0.085172445 0.47562528
ac: 0.30638885 0.035157815 -0.29132795
ac: 0.43275833 0.29956543 -0.48323655
ac: 0.20713806 -0.21541414 0.024097204
ac: 0.20206547 -0.29884997 0.06603265
ac: -0.2552986 0.2557108 0.29634976
ac: 0.123996735 -0.08089812 -0.068023205
ac: 1.0855436 -0.055218324 0.59721303
ac: -3.0082016 -0.8550477 3.100841
Position: 54.3829545 18.47531415
ac: 0.13102055 0.5201433 0.25304437
ac: 1.1180391 -0.20859015 0.23517013
ac: 0.41571236 -0.08268911 0.47423315
ac: 0.4268179 -0.17786214 0.08692002
ac: 0.12169075 -0.38499388 0.2270279
ac: 0.60886955 -0.013920397 -0.6164274
ac: 0.5155401 -1.1118159 1.7816646
ac: -1.4105296 -0.39404288 -0.29005933
ac: -3.840232 -1.3559494 1.3709822
ac: 0.30443096 0.10706365 -0.3141396
ac: -0.85149765 0.32590222 0.24278212
ac: 0.4127102 0.42966917 -0.28210998
ac: 0.35724258 0.15215164 -0.019726992
ac: 0.2772808 -0.09466742 -0.24373436
ac: 0.03445816 -0.29353932 -0.14931417
ac: 0.46487808 -0.3323986 -0.3903885
ac: 0.12446499 -0.14050767 -0.32025266
ac: 0.18663406 -0.19091012 -0.18213415
ac: 0.4030018 -0.02018208 -0.22762108
Position: 54.3829545 18.47531415
ac: 0.16451836 0.1989356 0.057860374
ac: -0.07422638 0.5021137 0.29923534
ac: 0.1144228 0.5213894 0.13334966
ac: 0.102749825 0.27333063 0.3849969
ac: 0.1660862 -0.0862427 0.43611908
ac: 0.046092987 -0.17879473 0.2729218
ac: 0.2873621 -0.29203475 0.034060955
ac: -0.17968464 -0.18343613 0.25576615
ac: -0.042798042 -0.2210019 0.21905112
ac: 0.43322086 -0.0050464645 0.18747377
ac: -0.063759804 0.35523266 0.005661726
ac: 0.06784916 0.52705985 0.039118767
ac: 0.32067776 0.31412092 -0.17857361
ac: 0.53380585 0.19810674 0.046298742
ac: 0.31926632 0.040296644 -0.14583421
ac: 0.14488697 -0.28010523 0.0614655
ac: 0.6468563 -0.3747206 -0.05308318
ac: 0.18673801 -0.2394681 -0.12895226
Position: 54.3829545 18.47531415
ac: -0.079779625 -0.3890908 -0.07476807
ac: 0.31820297 -0.010568157 0.23556685
ac: 0.14395618 0.41245615 0.03876424
ac: 0.13151455 0.49266547 0.15298057
ac: 0.3994465 0.31849518 0.119826555
ac: 0.34704494 0.26579878 0.13052177
ac: -0.0065670013 -0.038155835 0.26974297
ac: -0.12878895 -0.12794279 0.18779111
ac: 0.20409393 -0.18825696 0.06738925
ac: -0.14804554 -0.108963065 -0.079460144
ac: -0.022856712 -0.21797639 -0.13303661
ac: 0.31993866 -0.054142218 0.14532757
ac: 0.108789444 0.29233226 -0.05427885
ac: 0.1902237 0.4582976 -0.11797094
ac: 0.43101883 0.24602616 -0.13791203
ac: 0.27218437 0.07774199 0.07703018
ac: 0.35278797 -0.08907646 -0.12072849
ac: 0.18708992 -0.22552726 0.263844
Position: 54.3829545 18.47531415
ac: 0.4127674 -0.31955287 0.22020388
