Position: 54.36921695 18.60793533
ac: 8.296896 -4.1667356 -5.3859973
ac: 0.16563797 0.33656916 -0.9787507
ac: 0.23486233 0.23649523 -0.87772226
ac: 0.36307526 0.07699878 -0.7905991
ac: 0.11261845 0.2471762 -0.5569527
ac: 0.09872532 0.11712562 -0.48730445
ac: 0.15027714 0.058875095 -0.32789087
ac: 0.26865482 0.15175474 -0.28307056
ac: 0.44973183 0.242391 -0.1500647
ac: -0.050955772 0.54710984 -0.019252777
ac: 0.012288094 0.57755935 -0.30059624
ac: 0.28116894 0.42569444 -0.33404517
ac: 0.2654276 0.39102325 -0.03982854
ac: 0.42935848 0.23120648 0.12920213
ac: -0.09124184 0.03888327 0.09339404
ac: 0.12862015 -0.027381051 -0.0062832832
ac: -0.09058857 -0.10007483 0.15396667
ac: 0.29212284 -0.20792526 0.26249146
ac: 0.38869762 -0.38894966 -0.040941
ac: 0.5763197 -0.34573856 -0.22921705
ac: 0.08291721 -0.027323186 -0.09081125
ac: -0.20737076 -0.008974455 0.06930804
ac: 0.11377525 -0.006010346 0.17546248
ac: 0.33332157 1.6249716E-4 0.14073563
ac: 0.5733309 0.16370031 0.057308674
ac: -0.08668709 0.44624335 0.07916808
ac: 0.07419491 -0.21823008 0.11357808
ac: 0.29588604 0.48496965 0.073382616
ac: 0.40992546 0.37444004 0.08786321
ac: 0.4185667 0.115360364 0.13521004
ac: 0.15734196 -0.11802228 0.10241699
ac: -0.021421432 -0.1591656 0.29495335
ac: 0.24116898 -0.30414808 0.3805356
ac: 0.13228321 -0.31863427 0.103238344
ac: 0.27322292 -0.33546793 -0.06260586
ac: 0.3309822 -0.32277533 -0.17199898
ac: -0.08730984 -0.081285365 0.019771338
ac: 0.04195404 -0.17602877 0.061202288
ac: 0.19496918 -0.20664924 0.045271397
ac: 0.24444771 -0.18185763 0.014201164
ac: 0.3376875 0.12865853 0.06856346
ac: -0.19384575 0.42786944 0.2354424
ac: -0.028867722 0.50033116 -0.05469799
ac: 0.26871872 0.325617 -0.14729309
ac: 0.3258257 0.35829002 0.111006975
ac: 0.4357319 0.21047524 0.20697641
ac: 0.15575981 0.0020373538 0.07111597
ac: 0.001376152 -0.21183015 0.17839217
ac: 0.096883774 -0.3186755 0.17857718
ac: 0.37153244 -0.31658494 -0.1453247
ac: 0.4636202 -0.28536594 -0.20918155
ac: 0.0527277 -0.16630086 -0.101685524
ac: -0.055552483 -0.2178405 0.020950794
ac: -0.35075665 -0.103804946 0.12612224
ac: 0.14378262 0.011218727 0.12269759
ac: 0.37178993 -0.02542232 -0.028213024
ac: 0.5822363 0.0072509944 0.08324146
ac: -0.032526016 0.3246791 0.24305081
ac: -0.14513206 0.46526366 0.12343049
ac: 0.37232018 0.4389198 0.05244422
ac: 0.325881 0.32209903 0.0654428
ac: 0.42433453 0.07101151 0.16973495
ac: 0.24353886 -0.037934884 0.29216957
ac: -0.06104946 -0.16382863 0.24248672
ac: 0.34271717 -0.33221388 0.32343888
ac: 0.31838703 -0.32824266 0.08750749
ac: 0.595644 -0.31733578 -0.16189098
ac: 0.13414192 -0.14413054 -0.052397966
ac: -0.20661068 -0.1479235 0.06714463
ac: 0.15458298 -0.12698475 0.19174337
ac: 0.42082405 -0.047518708 0.0746665
ac: 0.20270157 -0.028676063 0.035639048
ac: 0.37789345 0.24586071 0.102231264
ac: -0.24583912 0.3710697 0.13723397
ac: -0.08333397 0.417206 -0.12681198
ac: 0.35200787 0.22029316 -0.14912653
ac: 0.27676105 0.26040566 0.09386754
ac: 0.38559628 0.18504092 0.21335673
ac: -0.040221214 0.07928717 0.20526743
ac: 0.25502682 -0.17323154 0.15807915
ac: 0.26841164 -0.52509296 -0.052858353
ac: 0.2575922 -0.4595979 -0.21142864
ac: 0.28133583 -0.31776482 -0.1655488
ac: -0.35904598 0.04332535 0.036551952
Position: 54.36921695 18.60793533
ac: 0.08282089 -0.03976211 0.028997421
ac: 0.34763145 -0.09194091 0.024837494
ac: 0.47484398 -0.01776421 0.06718254
ac: 0.17385292 0.24873392 0.12784147
ac: -0.36449718 0.4539935 0.02071023
ac: 0.18493652 0.49180126 -0.07501364
ac: 0.0839262 0.49116117 0.041926146
ac: 0.27887726 0.3518328 0.10737443
ac: 0.43696404 0.18315177 0.14546514
ac: 0.2777853 -0.08263942 0.1293087
ac: 0.0072698593 -0.19156916 0.13096881
ac: 0.29223442 -0.33978638 0.18211508
ac: 0.21730042 -0.22545272 0.09319806
ac: 0.3283577 -0.30958092 -0.16521502
ac: -0.02614212 -0.21431613 -0.16730261
ac: -0.16811085 -0.2522902 -0.022992373
ac: 0.22809887 -0.30065498 0.092092276
ac: 0.33785534 -0.06019172 0.04928398
Position: 54.36921695 18.60793533
ac: 0.39326668 0.31815058 0.1803
ac: -0.23035526 0.4043056 0.0698936
ac: 0.0044288635 0.482614 -0.08407593
ac: 0.22883987 0.2563219 -0.032995224
ac: 0.38935757 0.12982728 0.13926983
ac: 0.3729725 0.0601739 0.21773839
ac: -0.054344177 0.0127303 0.24146271
ac: 0.04143524 -0.0606649 0.167341
ac: -0.0128593445 -0.3357786 0.08633256
ac: 0.33588886 -0.3262465 0.29965782
ac: 0.40481758 -0.4943816 -0.064852
ac: 0.50561905 -0.33530515 -0.075071335
ac: -0.023396492 -0.09667203 -0.11051893
ac: -0.0629406 -0.1052157 0.013576031
ac: 0.15791035 -0.06507453 0.14768267
ac: 0.37957668 -0.07123977 0.08543277
ac: 0.19594479 0.23737404 0.1940453
ac: -0.19329071 0.520242 -0.055862904
Position: 54.36921695 18.60793533
ac: 0.23533726 0.37471184 -0.09036493
ac: 0.22540474 0.37596738 0.23266387
ac: 0.39855862 0.19420244 0.38204336
ac: 0.18305302 0.011489943 0.26149464
ac: 0.16122818 -0.3421987 0.105392456
ac: 0.30635834 -0.45924515 0.13162518
ac: 0.25401878 -0.38182813 -0.031725645
