ac: -0.009578049 0.13563538 0.06491423
ac: 0.011488333 0.1218853 0.0558424
ac: -0.014824942 0.13698864 0.07048273
ac: -0.02111286 0.14648342 0.06052494
ac: 0.0071988255 0.14025593 0.035214424
ac: 0.006670058 0.11290264 0.061214447
ac: -0.011495709 0.14020252 0.07128811
ac: 0.021332562 0.12905693 0.05650425
ac: 0.00720796 0.13895893 0.07507181
ac: 1.4226139E-4 0.14706898 0.09948397
ac: -0.0015250295 0.15133572 0.08497524
Position: 54.36985082 18.60727421
ac: -0.002770707 0.13242817 0.055081367
ac: 0.0015194714 0.13196278 0.06445503
ac: -0.011023492 0.14823246 0.079823494
ac: 0.014382392 0.14173031 0.0629859
ac: -5.8327615E-4 0.13481998 0.08216095
ac: -0.010756806 0.13535023 0.08706713
ac: -0.022198826 0.13524818 0.08657789
ac: 0.005859256 0.13589096 0.07273483
ac: -0.0031459033 0.13170242 0.057169914
ac: 0.027687475 0.15497208 0.07299137
ac: -0.0015164763 0.13651276 0.0973196
ac: 0.0052631795 0.15357208 0.07457733
ac: 0.011661723 0.13665485 0.07433176
ac: -0.006829262 0.13515663 0.07311201
ac: -0.004824728 0.13930511 0.037326336
ac: 0.010447368 0.15033436 0.055942535
ac: 0.016864121 0.13734436 0.07461929
ac: -0.007537782 0.12854195 0.054502964
Position: 54.36984805 18.60721834
ac: 0.005689591 0.1316185 0.08068991
ac: -0.0010174364 0.1379633 0.041662216
ac: -0.010762945 0.14210796 0.045378685
ac: 0.002528727 0.16898632 0.038262844
ac: 0.009426877 0.13925266 0.07682419
ac: 0.0021633208 0.12933159 0.0661211
ac: 0.01803112 0.1411314 0.07001734
ac: 0.020520672 0.13134193 0.05614519
ac: -0.0011514425 0.15440941 0.07399416
ac: 0.009340808 0.15179539 0.048687458
ac: -0.0020039678 0.1345501 0.079530716
ac: 0.008598164 0.14678192 0.08502817
ac: -0.006303042 0.12957668 0.053030014
ac: 0.008041054 0.14449215 0.048942566
ac: -0.0035357028 0.13837337 0.091070175
ac: 0.011818156 0.14994526 0.064388275
ac: 4.0601194E-4 0.15083122 0.06496382
ac: 0.0034551919 0.13822365 0.07287979
Position: 54.36984116 18.60718612
ac: 0.020809785 0.1386385 0.05112219
ac: -0.008785874 0.12608051 0.08460617
ac: -5.9454143E-4 0.13432312 0.073544025
ac: 0.0182015 0.15310955 0.043135643
