Position: 54.36956899 18.60745089
ac: 6.009933 -3.4590237 5.2929482
ac: 0.2927317 1.478473 1.4783497
ac: -1.1368043 1.2239356 -0.7230196
ac: -0.8730267 1.7393671 -3.011529
ac: -0.62642324 2.2093558 -0.9649744
ac: 0.5668162 1.3889413 0.18608093
ac: 0.5316901 1.4321347 3.0721645
ac: -0.17868747 -0.02946055 2.9732056
ac: 0.13555756 0.39366913 2.719634
ac: 1.1721365 1.0600653 -0.14884758
ac: 0.79357266 2.367003 -1.094327
ac: 1.0129908 1.46738 -1.5969067
ac: -1.5900904 -1.2989799 -1.7877741
ac: -0.7600223 0.58502316 -0.7901535
ac: -0.79987884 -1.3740534 1.0675907
ac: 0.90868485 -0.58306444 -1.1792278
ac: 1.0825706 -1.7472274 3.8804684
ac: 1.4494635 0.43127203 -0.3587246
ac: 0.23071429 1.699474 -2.0039425
ac: -0.8522121 1.2163324 -2.5157056
ac: -0.8578042 1.8342927 -4.420138
ac: -1.0238181 0.89612675 0.8739643
ac: -1.1237521 1.3589017 -0.103798866
ac: -0.79366076 0.90317035 -1.3482122
ac: 0.2263403 0.6364515 -0.28652382
ac: 1.3639399 -1.3182676 -0.009385109
ac: 0.1613384 -0.7926303 1.4087849
ac: 0.76819617 0.10296965 2.0648947
ac: -0.8755472 -0.7576783 1.2423162
ac: -1.733717 2.0238485 0.56143475
ac: -0.35098767 1.0224113 -0.36854935
ac: -0.5150016 0.49156845 -1.8482995
ac: 0.3779114 -0.43772888 0.05573368
ac: 0.34400892 -0.51782596 -0.43739128
ac: 2.6322637 -0.35733867 0.5911865
ac: 1.0601529 -1.3805485 3.0549335
ac: -0.110916734 0.15634209 1.670929
ac: -0.11533165 1.5203018 -2.0815434
ac: 0.54317147 1.069142 -1.7589602
ac: -0.9761988 0.6836254 -2.1664371
ac: -0.033094525 -0.21424693 -1.8338909
ac: -0.7584157 -0.8513347 -1.4135628
ac: -2.0050035 -1.3047682 -1.5781336
ac: -1.6884862 -1.8206954 4.3093424
ac: -3.240367 0.16595513 -0.06574726
ac: -0.45941216 0.7312529 0.076236725
ac: -0.75878537 0.96640897 -0.5632887
ac: -1.2015088 -0.68536836 -0.80184555
ac: 1.8404098 -0.21687554 -2.1452851
ac: 2.1226225 -0.77890617 0.7677555
ac: 1.0423816 -1.3535149 6.181547
ac: 1.0196747 1.0989606 2.3855286
ac: 0.386604 1.0443854 -2.304863
ac: -1.5424912 0.3099618 -1.3507757
ac: -1.6478877 -0.010230541 -0.8608637
ac: -2.4921637 -0.22206187 0.21745205
ac: 0.546709 0.842 0.91582775
ac: 0.35066766 -1.5943612 4.433877
ac: 0.42342195 0.1783235 0.38556194
ac: 1.02739 -1.553262 -10.7003
ac: -1.2444701 -0.3735478 -1.8117967
ac: 0.02196318 -0.52364826 -0.5538006
ac: -2.518207 -0.15301156 0.97284126
ac: 0.6512774 -0.23548913 -0.32973194
ac: 1.77329 -0.35814476 5.0661926
ac: -1.0942627 0.41401577 -2.6324005
ac: 0.5801486 0.44731712 -0.47743797
ac: -0.04870397 1.6520398 -3.201048
ac: 0.6909668 -1.3697447 0.8643341
ac: -1.1985055 -0.73532224 0.71675396
ac: -2.096329 -0.7507018 3.5925798
ac: -1.7755053 0.4752202 0.6502743
ac: -1.3643849 -0.98086166 1.37778
ac: -1.3033795 -1.781293 -1.6089044
ac: -0.82619584 0.13682699 -2.9571695
ac: 1.1415833 -0.015537262 -1.6754937
ac: -0.525669 0.33472753 -0.344388
ac: -0.7695054 0.2747283 1.4163694
ac: -0.556188 1.1956453 0.811038
ac: 1.6061516 -3.7038577 3.2957926
ac: 1.5620408 -1.2261794 0.49402714
ac: -0.72460663 -0.03682995 -0.62218
